year,number,month,state
1998,0,Janeiro,Acre
1999,0,Janeiro,Acre
2000,0,Janeiro,Acre
2001,0,Janeiro,Acre
2002,0,Janeiro,Acre
2003,14,Janeiro,Acre
2004,0,Janeiro,Acre
2005,20,Janeiro,Acre
2006,7,Janeiro,Acre
2007,1,Janeiro,Acre
2008,0,Janeiro,Acre
2009,0,Janeiro,Acre
2010,1,Janeiro,Acre
2011,2,Janeiro,Acre
2012,1,Janeiro,Acre
2013,0,Janeiro,Acre
2014,0,Janeiro,Acre
2015,3,Janeiro,Acre
2016,13,Janeiro,Acre
2017,0,Janeiro,Acre
2018,0,Janeiro,Acre
2019,1,Janeiro,Acre
2020,16,Janeiro,Acre
2021,5,Janeiro,Acre
1998,0,Fevereiro,Acre
1999,0,Fevereiro,Acre
2000,0,Fevereiro,Acre
2001,0,Fevereiro,Acre
2002,1,Fevereiro,Acre
2003,0,Fevereiro,Acre
2004,4,Fevereiro,Acre
2005,0,Fevereiro,Acre
2006,1,Fevereiro,Acre
2007,14,Fevereiro,Acre
2008,0,Fevereiro,Acre
2009,2,Fevereiro,Acre
2010,0,Fevereiro,Acre
2011,0,Fevereiro,Acre
2012,0,Fevereiro,Acre
2013,0,Fevereiro,Acre
2014,0,Fevereiro,Acre
2015,2,Fevereiro,Acre
2016,2,Fevereiro,Acre
2017,4,Fevereiro,Acre
2018,2,Fevereiro,Acre
2019,1,Fevereiro,Acre
2020,0,Fevereiro,Acre
2021,0,Fevereiro,Acre
1998,0,Março,Acre
1999,0,Março,Acre
2000,11,Março,Acre
2001,0,Março,Acre
2002,0,Março,Acre
2003,0,Março,Acre
2004,0,Março,Acre
2005,5,Março,Acre
2006,0,Março,Acre
2007,5,Março,Acre
2008,1,Março,Acre
2009,0,Março,Acre
2010,1,Março,Acre
2011,0,Março,Acre
2012,0,Março,Acre
2013,0,Março,Acre
2014,1,Março,Acre
2015,1,Março,Acre
2016,0,Março,Acre
2017,0,Março,Acre
2018,1,Março,Acre
2019,2,Março,Acre
2020,1,Março,Acre
2021,0,Março,Acre
1998,0,Abril,Acre
1999,0,Abril,Acre
2000,1,Abril,Acre
2001,0,Abril,Acre
2002,0,Abril,Acre
2003,5,Abril,Acre
2004,9,Abril,Acre
2005,2,Abril,Acre
2006,2,Abril,Acre
2007,8,Abril,Acre
2008,1,Abril,Acre
2009,2,Abril,Acre
2010,10,Abril,Acre
2011,4,Abril,Acre
2012,3,Abril,Acre
2013,46,Abril,Acre
2014,7,Abril,Acre
2015,3,Abril,Acre
2016,1,Abril,Acre
2017,1,Abril,Acre
2018,5,Abril,Acre
2019,6,Abril,Acre
2020,4,Abril,Acre
2021,0,Abril,Acre
1998,0,Maio,Acre
1999,0,Maio,Acre
2000,1,Maio,Acre
2001,0,Maio,Acre
2002,0,Maio,Acre
2003,18,Maio,Acre
2004,21,Maio,Acre
2005,17,Maio,Acre
2006,58,Maio,Acre
2007,15,Maio,Acre
2008,23,Maio,Acre
2009,10,Maio,Acre
2010,33,Maio,Acre
2011,8,Maio,Acre
2012,15,Maio,Acre
2013,11,Maio,Acre
2014,1,Maio,Acre
2015,2,Maio,Acre
2016,23,Maio,Acre
2017,9,Maio,Acre
2018,14,Maio,Acre
2019,33,Maio,Acre
2020,39,Maio,Acre
2021,0,Maio,Acre
1998,3,Junho,Acre
1999,0,Junho,Acre
2000,1,Junho,Acre
2001,1,Junho,Acre
2002,0,Junho,Acre
2003,18,Junho,Acre
2004,12,Junho,Acre
2005,75,Junho,Acre
2006,34,Junho,Acre
2007,76,Junho,Acre
2008,18,Junho,Acre
2009,1,Junho,Acre
2010,41,Junho,Acre
2011,26,Junho,Acre
2012,12,Junho,Acre
2013,19,Junho,Acre
2014,23,Junho,Acre
2015,42,Junho,Acre
2016,101,Junho,Acre
2017,39,Junho,Acre
2018,41,Junho,Acre
2019,60,Junho,Acre
2020,71,Junho,Acre
2021,0,Junho,Acre
1998,35,Julho,Acre
1999,1,Julho,Acre
2000,1,Julho,Acre
2001,3,Julho,Acre
2002,59,Julho,Acre
2003,427,Julho,Acre
2004,95,Julho,Acre
2005,1136,Julho,Acre
2006,186,Julho,Acre
2007,181,Julho,Acre
2008,165,Julho,Acre
2009,59,Julho,Acre
2010,210,Julho,Acre
2011,130,Julho,Acre
2012,132,Julho,Acre
2013,98,Julho,Acre
2014,91,Julho,Acre
2015,118,Julho,Acre
2016,588,Julho,Acre
2017,362,Julho,Acre
2018,381,Julho,Acre
2019,272,Julho,Acre
2020,335,Julho,Acre
2021,0,Julho,Acre
1998,131,Agosto,Acre
1999,67,Agosto,Acre
2000,136,Agosto,Acre
2001,399,Agosto,Acre
2002,1268,Agosto,Acre
2003,3163,Agosto,Acre
2004,1003,Agosto,Acre
2005,7669,Agosto,Acre
2006,1507,Agosto,Acre
2007,1942,Agosto,Acre
2008,1621,Agosto,Acre
2009,366,Agosto,Acre
2010,2752,Agosto,Acre
2011,685,Agosto,Acre
2012,1092,Agosto,Acre
2013,1045,Agosto,Acre
2014,1263,Agosto,Acre
2015,1624,Agosto,Acre
2016,2526,Agosto,Acre
2017,1318,Agosto,Acre
2018,1368,Agosto,Acre
2019,3051,Agosto,Acre
2020,3578,Agosto,Acre
2021,0,Agosto,Acre
1998,512,Setembro,Acre
1999,212,Setembro,Acre
2000,261,Setembro,Acre
2001,288,Setembro,Acre
2002,4337,Setembro,Acre
2003,5803,Setembro,Acre
2004,5458,Setembro,Acre
2005,6092,Setembro,Acre
2006,3737,Setembro,Acre
2007,5446,Setembro,Acre
2008,2947,Setembro,Acre
2009,2067,Setembro,Acre
2010,5030,Setembro,Acre
2011,1912,Setembro,Acre
2012,2796,Setembro,Acre
2013,3331,Setembro,Acre
2014,2528,Setembro,Acre
2015,2949,Setembro,Acre
2016,3863,Setembro,Acre
2017,3100,Setembro,Acre
2018,4379,Setembro,Acre
2019,2977,Setembro,Acre
2020,3357,Setembro,Acre
2021,0,Setembro,Acre
1998,44,Outubro,Acre
1999,63,Outubro,Acre
2000,18,Outubro,Acre
2001,137,Outubro,Acre
2002,932,Outubro,Acre
2003,1041,Outubro,Acre
2004,633,Outubro,Acre
2005,943,Outubro,Acre
2006,600,Outubro,Acre
2007,823,Outubro,Acre
2008,856,Outubro,Acre
2009,952,Outubro,Acre
2010,523,Outubro,Acre
2011,264,Outubro,Acre
2012,627,Outubro,Acre
2013,318,Outubro,Acre
2014,406,Outubro,Acre
2015,912,Outubro,Acre
2016,515,Outubro,Acre
2017,1350,Outubro,Acre
2018,407,Outubro,Acre
2019,354,Outubro,Acre
2020,1652,Outubro,Acre
2021,0,Outubro,Acre
1998,0,Novembro,Acre
1999,4,Novembro,Acre
2000,0,Novembro,Acre
2001,1,Novembro,Acre
2002,139,Novembro,Acre
2003,30,Novembro,Acre
2004,25,Novembro,Acre
2005,27,Novembro,Acre
2006,66,Novembro,Acre
2007,38,Novembro,Acre
2008,63,Novembro,Acre
2009,50,Novembro,Acre
2010,58,Novembro,Acre
2011,152,Novembro,Acre
2012,39,Novembro,Acre
2013,108,Novembro,Acre
2014,70,Novembro,Acre
2015,115,Novembro,Acre
2016,46,Novembro,Acre
2017,102,Novembro,Acre
2018,26,Novembro,Acre
2019,44,Novembro,Acre
2020,129,Novembro,Acre
2021,0,Novembro,Acre
1998,7,Dezembro,Acre
1999,0,Dezembro,Acre
2000,0,Dezembro,Acre
2001,0,Dezembro,Acre
2002,3,Dezembro,Acre
2003,4,Dezembro,Acre
2004,11,Dezembro,Acre
2005,7,Dezembro,Acre
2006,0,Dezembro,Acre
2007,0,Dezembro,Acre
2008,4,Dezembro,Acre
2009,2,Dezembro,Acre
2010,2,Dezembro,Acre
2011,8,Dezembro,Acre
2012,3,Dezembro,Acre
2013,4,Dezembro,Acre
2014,8,Dezembro,Acre
2015,8,Dezembro,Acre
2016,6,Dezembro,Acre
2017,10,Dezembro,Acre
2018,2,Dezembro,Acre
2019,1,Dezembro,Acre
2020,11,Dezembro,Acre
2021,0,Dezembro,Acre
1998,0,Janeiro,Alagoas
1999,58,Janeiro,Alagoas
2000,11,Janeiro,Alagoas
2001,5,Janeiro,Alagoas
2002,12,Janeiro,Alagoas
2003,147,Janeiro,Alagoas
2004,13,Janeiro,Alagoas
2005,91,Janeiro,Alagoas
2006,36,Janeiro,Alagoas
2007,33,Janeiro,Alagoas
2008,52,Janeiro,Alagoas
2009,112,Janeiro,Alagoas
2010,32,Janeiro,Alagoas
2011,45,Janeiro,Alagoas
2012,43,Janeiro,Alagoas
2013,45,Janeiro,Alagoas
2014,49,Janeiro,Alagoas
2015,64,Janeiro,Alagoas
2016,22,Janeiro,Alagoas
2017,38,Janeiro,Alagoas
2018,17,Janeiro,Alagoas
2019,32,Janeiro,Alagoas
2020,45,Janeiro,Alagoas
2021,21,Janeiro,Alagoas
1998,0,Fevereiro,Alagoas
1999,19,Fevereiro,Alagoas
2000,16,Fevereiro,Alagoas
2001,4,Fevereiro,Alagoas
2002,15,Fevereiro,Alagoas
2003,52,Fevereiro,Alagoas
2004,15,Fevereiro,Alagoas
2005,47,Fevereiro,Alagoas
2006,32,Fevereiro,Alagoas
2007,33,Fevereiro,Alagoas
2008,83,Fevereiro,Alagoas
2009,33,Fevereiro,Alagoas
2010,39,Fevereiro,Alagoas
2011,35,Fevereiro,Alagoas
2012,52,Fevereiro,Alagoas
2013,22,Fevereiro,Alagoas
2014,26,Fevereiro,Alagoas
2015,40,Fevereiro,Alagoas
2016,14,Fevereiro,Alagoas
2017,16,Fevereiro,Alagoas
2018,16,Fevereiro,Alagoas
2019,9,Fevereiro,Alagoas
2020,21,Fevereiro,Alagoas
2021,37,Fevereiro,Alagoas
1998,0,Março,Alagoas
1999,52,Março,Alagoas
2000,32,Março,Alagoas
2001,0,Março,Alagoas
2002,27,Março,Alagoas
2003,32,Março,Alagoas
2004,34,Março,Alagoas
2005,45,Março,Alagoas
2006,46,Março,Alagoas
2007,12,Março,Alagoas
2008,47,Março,Alagoas
2009,47,Março,Alagoas
2010,87,Março,Alagoas
2011,45,Março,Alagoas
2012,58,Março,Alagoas
2013,36,Março,Alagoas
2014,19,Março,Alagoas
2015,27,Março,Alagoas
2016,10,Março,Alagoas
2017,19,Março,Alagoas
2018,13,Março,Alagoas
2019,11,Março,Alagoas
2020,12,Março,Alagoas
2021,0,Março,Alagoas
1998,0,Abril,Alagoas
1999,4,Abril,Alagoas
2000,20,Abril,Alagoas
2001,0,Abril,Alagoas
2002,6,Abril,Alagoas
2003,22,Abril,Alagoas
2004,10,Abril,Alagoas
2005,3,Abril,Alagoas
2006,7,Abril,Alagoas
2007,16,Abril,Alagoas
2008,26,Abril,Alagoas
2009,5,Abril,Alagoas
2010,5,Abril,Alagoas
2011,19,Abril,Alagoas
2012,18,Abril,Alagoas
2013,20,Abril,Alagoas
2014,15,Abril,Alagoas
2015,46,Abril,Alagoas
2016,14,Abril,Alagoas
2017,6,Abril,Alagoas
2018,2,Abril,Alagoas
2019,5,Abril,Alagoas
2020,5,Abril,Alagoas
2021,0,Abril,Alagoas
1998,0,Maio,Alagoas
1999,1,Maio,Alagoas
2000,1,Maio,Alagoas
2001,2,Maio,Alagoas
2002,1,Maio,Alagoas
2003,7,Maio,Alagoas
2004,3,Maio,Alagoas
2005,0,Maio,Alagoas
2006,2,Maio,Alagoas
2007,2,Maio,Alagoas
2008,8,Maio,Alagoas
2009,0,Maio,Alagoas
2010,0,Maio,Alagoas
2011,0,Maio,Alagoas
2012,23,Maio,Alagoas
2013,2,Maio,Alagoas
2014,1,Maio,Alagoas
2015,17,Maio,Alagoas
2016,4,Maio,Alagoas
2017,1,Maio,Alagoas
2018,0,Maio,Alagoas
2019,5,Maio,Alagoas
2020,1,Maio,Alagoas
2021,0,Maio,Alagoas
1998,0,Junho,Alagoas
1999,0,Junho,Alagoas
2000,0,Junho,Alagoas
2001,2,Junho,Alagoas
2002,0,Junho,Alagoas
2003,5,Junho,Alagoas
2004,1,Junho,Alagoas
2005,3,Junho,Alagoas
2006,0,Junho,Alagoas
2007,1,Junho,Alagoas
2008,1,Junho,Alagoas
2009,0,Junho,Alagoas
2010,2,Junho,Alagoas
2011,2,Junho,Alagoas
2012,5,Junho,Alagoas
2013,2,Junho,Alagoas
2014,2,Junho,Alagoas
2015,2,Junho,Alagoas
2016,5,Junho,Alagoas
2017,1,Junho,Alagoas
2018,6,Junho,Alagoas
2019,3,Junho,Alagoas
2020,0,Junho,Alagoas
2021,0,Junho,Alagoas
1998,0,Julho,Alagoas
1999,0,Julho,Alagoas
2000,0,Julho,Alagoas
2001,0,Julho,Alagoas
2002,7,Julho,Alagoas
2003,4,Julho,Alagoas
2004,3,Julho,Alagoas
2005,2,Julho,Alagoas
2006,3,Julho,Alagoas
2007,6,Julho,Alagoas
2008,0,Julho,Alagoas
2009,1,Julho,Alagoas
2010,1,Julho,Alagoas
2011,0,Julho,Alagoas
2012,1,Julho,Alagoas
2013,1,Julho,Alagoas
2014,1,Julho,Alagoas
2015,0,Julho,Alagoas
2016,5,Julho,Alagoas
2017,0,Julho,Alagoas
2018,0,Julho,Alagoas
2019,2,Julho,Alagoas
2020,3,Julho,Alagoas
2021,0,Julho,Alagoas
1998,1,Agosto,Alagoas
1999,3,Agosto,Alagoas
2000,4,Agosto,Alagoas
2001,1,Agosto,Alagoas
2002,5,Agosto,Alagoas
2003,7,Agosto,Alagoas
2004,2,Agosto,Alagoas
2005,9,Agosto,Alagoas
2006,5,Agosto,Alagoas
2007,3,Agosto,Alagoas
2008,3,Agosto,Alagoas
2009,0,Agosto,Alagoas
2010,4,Agosto,Alagoas
2011,11,Agosto,Alagoas
2012,0,Agosto,Alagoas
2013,0,Agosto,Alagoas
2014,3,Agosto,Alagoas
2015,3,Agosto,Alagoas
2016,4,Agosto,Alagoas
2017,1,Agosto,Alagoas
2018,12,Agosto,Alagoas
2019,6,Agosto,Alagoas
2020,5,Agosto,Alagoas
2021,0,Agosto,Alagoas
1998,14,Setembro,Alagoas
1999,3,Setembro,Alagoas
2000,22,Setembro,Alagoas
2001,5,Setembro,Alagoas
2002,23,Setembro,Alagoas
2003,8,Setembro,Alagoas
2004,11,Setembro,Alagoas
2005,14,Setembro,Alagoas
2006,13,Setembro,Alagoas
2007,12,Setembro,Alagoas
2008,14,Setembro,Alagoas
2009,16,Setembro,Alagoas
2010,17,Setembro,Alagoas
2011,3,Setembro,Alagoas
2012,6,Setembro,Alagoas
2013,5,Setembro,Alagoas
2014,11,Setembro,Alagoas
2015,4,Setembro,Alagoas
2016,15,Setembro,Alagoas
2017,4,Setembro,Alagoas
2018,7,Setembro,Alagoas
2019,12,Setembro,Alagoas
2020,4,Setembro,Alagoas
2021,0,Setembro,Alagoas
1998,20,Outubro,Alagoas
1999,4,Outubro,Alagoas
2000,13,Outubro,Alagoas
2001,15,Outubro,Alagoas
2002,35,Outubro,Alagoas
2003,18,Outubro,Alagoas
2004,23,Outubro,Alagoas
2005,20,Outubro,Alagoas
2006,39,Outubro,Alagoas
2007,25,Outubro,Alagoas
2008,32,Outubro,Alagoas
2009,26,Outubro,Alagoas
2010,14,Outubro,Alagoas
2011,24,Outubro,Alagoas
2012,31,Outubro,Alagoas
2013,23,Outubro,Alagoas
2014,3,Outubro,Alagoas
2015,28,Outubro,Alagoas
2016,63,Outubro,Alagoas
2017,12,Outubro,Alagoas
2018,52,Outubro,Alagoas
2019,20,Outubro,Alagoas
2020,25,Outubro,Alagoas
2021,0,Outubro,Alagoas
1998,19,Novembro,Alagoas
1999,15,Novembro,Alagoas
2000,2,Novembro,Alagoas
2001,22,Novembro,Alagoas
2002,58,Novembro,Alagoas
2003,20,Novembro,Alagoas
2004,38,Novembro,Alagoas
2005,32,Novembro,Alagoas
2006,25,Novembro,Alagoas
2007,44,Novembro,Alagoas
2008,73,Novembro,Alagoas
2009,56,Novembro,Alagoas
2010,46,Novembro,Alagoas
2011,26,Novembro,Alagoas
2012,85,Novembro,Alagoas
2013,8,Novembro,Alagoas
2014,9,Novembro,Alagoas
2015,118,Novembro,Alagoas
2016,79,Novembro,Alagoas
2017,11,Novembro,Alagoas
2018,41,Novembro,Alagoas
2019,60,Novembro,Alagoas
2020,10,Novembro,Alagoas
2021,0,Novembro,Alagoas
1998,32,Dezembro,Alagoas
1999,12,Dezembro,Alagoas
2000,2,Dezembro,Alagoas
2001,30,Dezembro,Alagoas
2002,102,Dezembro,Alagoas
2003,51,Dezembro,Alagoas
2004,80,Dezembro,Alagoas
2005,26,Dezembro,Alagoas
2006,60,Dezembro,Alagoas
2007,75,Dezembro,Alagoas
2008,70,Dezembro,Alagoas
2009,64,Dezembro,Alagoas
2010,52,Dezembro,Alagoas
2011,57,Dezembro,Alagoas
2012,55,Dezembro,Alagoas
2013,37,Dezembro,Alagoas
2014,26,Dezembro,Alagoas
2015,111,Dezembro,Alagoas
2016,153,Dezembro,Alagoas
2017,20,Dezembro,Alagoas
2018,35,Dezembro,Alagoas
2019,67,Dezembro,Alagoas
2020,28,Dezembro,Alagoas
2021,0,Dezembro,Alagoas
1998,0,Janeiro,Amapá
1999,0,Janeiro,Amapá
2000,2,Janeiro,Amapá
2001,0,Janeiro,Amapá
2002,7,Janeiro,Amapá
2003,35,Janeiro,Amapá
2004,58,Janeiro,Amapá
2005,194,Janeiro,Amapá
2006,10,Janeiro,Amapá
2007,12,Janeiro,Amapá
2008,4,Janeiro,Amapá
2009,8,Janeiro,Amapá
2010,4,Janeiro,Amapá
2011,0,Janeiro,Amapá
2012,34,Janeiro,Amapá
2013,2,Janeiro,Amapá
2014,25,Janeiro,Amapá
2015,27,Janeiro,Amapá
2016,16,Janeiro,Amapá
2017,2,Janeiro,Amapá
2018,14,Janeiro,Amapá
2019,4,Janeiro,Amapá
2020,2,Janeiro,Amapá
2021,0,Janeiro,Amapá
1998,0,Fevereiro,Amapá
1999,1,Fevereiro,Amapá
2000,0,Fevereiro,Amapá
2001,0,Fevereiro,Amapá
2002,2,Fevereiro,Amapá
2003,0,Fevereiro,Amapá
2004,1,Fevereiro,Amapá
2005,1,Fevereiro,Amapá
2006,1,Fevereiro,Amapá
2007,1,Fevereiro,Amapá
2008,1,Fevereiro,Amapá
2009,0,Fevereiro,Amapá
2010,0,Fevereiro,Amapá
2011,3,Fevereiro,Amapá
2012,8,Fevereiro,Amapá
2013,2,Fevereiro,Amapá
2014,2,Fevereiro,Amapá
2015,0,Fevereiro,Amapá
2016,1,Fevereiro,Amapá
2017,0,Fevereiro,Amapá
2018,1,Fevereiro,Amapá
2019,0,Fevereiro,Amapá
2020,1,Fevereiro,Amapá
2021,1,Fevereiro,Amapá
1998,0,Março,Amapá
1999,2,Março,Amapá
2000,0,Março,Amapá
2001,0,Março,Amapá
2002,0,Março,Amapá
2003,5,Março,Amapá
2004,0,Março,Amapá
2005,0,Março,Amapá
2006,0,Março,Amapá
2007,2,Março,Amapá
2008,2,Março,Amapá
2009,0,Março,Amapá
2010,3,Março,Amapá
2011,0,Março,Amapá
2012,3,Março,Amapá
2013,1,Março,Amapá
2014,2,Março,Amapá
2015,1,Março,Amapá
2016,0,Março,Amapá
2017,0,Março,Amapá
2018,0,Março,Amapá
2019,0,Março,Amapá
2020,1,Março,Amapá
2021,0,Março,Amapá
1998,0,Abril,Amapá
1999,0,Abril,Amapá
2000,0,Abril,Amapá
2001,0,Abril,Amapá
2002,0,Abril,Amapá
2003,3,Abril,Amapá
2004,1,Abril,Amapá
2005,0,Abril,Amapá
2006,4,Abril,Amapá
2007,0,Abril,Amapá
2008,2,Abril,Amapá
2009,2,Abril,Amapá
2010,0,Abril,Amapá
2011,0,Abril,Amapá
2012,2,Abril,Amapá
2013,2,Abril,Amapá
2014,1,Abril,Amapá
2015,0,Abril,Amapá
2016,0,Abril,Amapá
2017,3,Abril,Amapá
2018,1,Abril,Amapá
2019,0,Abril,Amapá
2020,0,Abril,Amapá
2021,0,Abril,Amapá
1998,0,Maio,Amapá
1999,0,Maio,Amapá
2000,0,Maio,Amapá
2001,0,Maio,Amapá
2002,3,Maio,Amapá
2003,1,Maio,Amapá
2004,1,Maio,Amapá
2005,1,Maio,Amapá
2006,0,Maio,Amapá
2007,0,Maio,Amapá
2008,0,Maio,Amapá
2009,2,Maio,Amapá
2010,2,Maio,Amapá
2011,2,Maio,Amapá
2012,3,Maio,Amapá
2013,1,Maio,Amapá
2014,0,Maio,Amapá
2015,0,Maio,Amapá
2016,3,Maio,Amapá
2017,2,Maio,Amapá
2018,1,Maio,Amapá
2019,0,Maio,Amapá
2020,0,Maio,Amapá
2021,0,Maio,Amapá
1998,0,Junho,Amapá
1999,2,Junho,Amapá
2000,0,Junho,Amapá
2001,0,Junho,Amapá
2002,0,Junho,Amapá
2003,3,Junho,Amapá
2004,7,Junho,Amapá
2005,3,Junho,Amapá
2006,0,Junho,Amapá
2007,0,Junho,Amapá
2008,2,Junho,Amapá
2009,1,Junho,Amapá
2010,0,Junho,Amapá
2011,1,Junho,Amapá
2012,8,Junho,Amapá
2013,6,Junho,Amapá
2014,2,Junho,Amapá
2015,2,Junho,Amapá
2016,2,Junho,Amapá
2017,2,Junho,Amapá
2018,3,Junho,Amapá
2019,0,Junho,Amapá
2020,3,Junho,Amapá
2021,0,Junho,Amapá
1998,0,Julho,Amapá
1999,0,Julho,Amapá
2000,0,Julho,Amapá
2001,1,Julho,Amapá
2002,2,Julho,Amapá
2003,1,Julho,Amapá
2004,4,Julho,Amapá
2005,1,Julho,Amapá
2006,0,Julho,Amapá
2007,19,Julho,Amapá
2008,4,Julho,Amapá
2009,4,Julho,Amapá
2010,3,Julho,Amapá
2011,4,Julho,Amapá
2012,6,Julho,Amapá
2013,1,Julho,Amapá
2014,5,Julho,Amapá
2015,4,Julho,Amapá
2016,1,Julho,Amapá
2017,3,Julho,Amapá
2018,4,Julho,Amapá
2019,4,Julho,Amapá
2020,2,Julho,Amapá
2021,0,Julho,Amapá
1998,1,Agosto,Amapá
1999,0,Agosto,Amapá
2000,3,Agosto,Amapá
2001,12,Agosto,Amapá
2002,21,Agosto,Amapá
2003,21,Agosto,Amapá
2004,18,Agosto,Amapá
2005,15,Agosto,Amapá
2006,27,Agosto,Amapá
2007,10,Agosto,Amapá
2008,14,Agosto,Amapá
2009,23,Agosto,Amapá
2010,2,Agosto,Amapá
2011,12,Agosto,Amapá
2012,31,Agosto,Amapá
2013,18,Agosto,Amapá
2014,19,Agosto,Amapá
2015,26,Agosto,Amapá
2016,39,Agosto,Amapá
2017,28,Agosto,Amapá
2018,38,Agosto,Amapá
2019,21,Agosto,Amapá
2020,16,Agosto,Amapá
2021,0,Agosto,Amapá
1998,20,Setembro,Amapá
1999,4,Setembro,Amapá
2000,19,Setembro,Amapá
2001,95,Setembro,Amapá
2002,152,Setembro,Amapá
2003,135,Setembro,Amapá
2004,117,Setembro,Amapá
2005,139,Setembro,Amapá
2006,159,Setembro,Amapá
2007,146,Setembro,Amapá
2008,133,Setembro,Amapá
2009,214,Setembro,Amapá
2010,72,Setembro,Amapá
2011,140,Setembro,Amapá
2012,173,Setembro,Amapá
2013,126,Setembro,Amapá
2014,161,Setembro,Amapá
2015,198,Setembro,Amapá
2016,150,Setembro,Amapá
2017,88,Setembro,Amapá
2018,123,Setembro,Amapá
2019,138,Setembro,Amapá
2020,84,Setembro,Amapá
2021,0,Setembro,Amapá
1998,41,Outubro,Amapá
1999,25,Outubro,Amapá
2000,42,Outubro,Amapá
2001,193,Outubro,Amapá
2002,710,Outubro,Amapá
2003,526,Outubro,Amapá
2004,534,Outubro,Amapá
2005,509,Outubro,Amapá
2006,565,Outubro,Amapá
2007,485,Outubro,Amapá
2008,651,Outubro,Amapá
2009,951,Outubro,Amapá
2010,358,Outubro,Amapá
2011,381,Outubro,Amapá
2012,583,Outubro,Amapá
2013,560,Outubro,Amapá
2014,592,Outubro,Amapá
2015,927,Outubro,Amapá
2016,816,Outubro,Amapá
2017,440,Outubro,Amapá
2018,571,Outubro,Amapá
2019,540,Outubro,Amapá
2020,527,Outubro,Amapá
2021,0,Outubro,Amapá
1998,131,Novembro,Amapá
1999,26,Novembro,Amapá
2000,157,Novembro,Amapá
2001,406,Novembro,Amapá
2002,1473,Novembro,Amapá
2003,1117,Novembro,Amapá
2004,1406,Novembro,Amapá
2005,1054,Novembro,Amapá
2006,637,Novembro,Amapá
2007,753,Novembro,Amapá
2008,1182,Novembro,Amapá
2009,1115,Novembro,Amapá
2010,490,Novembro,Amapá
2011,407,Novembro,Amapá
2012,1157,Novembro,Amapá
2013,613,Novembro,Amapá
2014,653,Novembro,Amapá
2015,1424,Novembro,Amapá
2016,1104,Novembro,Amapá
2017,972,Novembro,Amapá
2018,450,Novembro,Amapá
2019,503,Novembro,Amapá
2020,76,Novembro,Amapá
2021,0,Novembro,Amapá
1998,84,Dezembro,Amapá
1999,41,Dezembro,Amapá
2000,30,Dezembro,Amapá
2001,593,Dezembro,Amapá
2002,294,Dezembro,Amapá
2003,669,Dezembro,Amapá
2004,1266,Dezembro,Amapá
2005,103,Dezembro,Amapá
2006,262,Dezembro,Amapá
2007,56,Dezembro,Amapá
2008,158,Dezembro,Amapá
2009,136,Dezembro,Amapá
2010,66,Dezembro,Amapá
2011,446,Dezembro,Amapá
2012,510,Dezembro,Amapá
2013,197,Dezembro,Amapá
2014,386,Dezembro,Amapá
2015,327,Dezembro,Amapá
2016,463,Dezembro,Amapá
2017,406,Dezembro,Amapá
2018,0,Dezembro,Amapá
2019,67,Dezembro,Amapá
2020,38,Dezembro,Amapá
2021,0,Dezembro,Amapá
1998,0,Janeiro,Amazonas
1999,3,Janeiro,Amazonas
2000,7,Janeiro,Amazonas
2001,3,Janeiro,Amazonas
2002,17,Janeiro,Amazonas
2003,379,Janeiro,Amazonas
2004,277,Janeiro,Amazonas
2005,225,Janeiro,Amazonas
2006,79,Janeiro,Amazonas
2007,106,Janeiro,Amazonas
2008,45,Janeiro,Amazonas
2009,34,Janeiro,Amazonas
2010,93,Janeiro,Amazonas
2011,59,Janeiro,Amazonas
2012,8,Janeiro,Amazonas
2013,43,Janeiro,Amazonas
2014,71,Janeiro,Amazonas
2015,38,Janeiro,Amazonas
2016,654,Janeiro,Amazonas
2017,62,Janeiro,Amazonas
2018,46,Janeiro,Amazonas
2019,35,Janeiro,Amazonas
2020,197,Janeiro,Amazonas
2021,37,Janeiro,Amazonas
1998,0,Fevereiro,Amazonas
1999,43,Fevereiro,Amazonas
2000,62,Fevereiro,Amazonas
2001,8,Fevereiro,Amazonas
2002,2,Fevereiro,Amazonas
2003,129,Fevereiro,Amazonas
2004,129,Fevereiro,Amazonas
2005,16,Fevereiro,Amazonas
2006,31,Fevereiro,Amazonas
2007,167,Fevereiro,Amazonas
2008,48,Fevereiro,Amazonas
2009,9,Fevereiro,Amazonas
2010,76,Fevereiro,Amazonas
2011,6,Fevereiro,Amazonas
2012,8,Fevereiro,Amazonas
2013,4,Fevereiro,Amazonas
2014,17,Fevereiro,Amazonas
2015,71,Fevereiro,Amazonas
2016,252,Fevereiro,Amazonas
2017,21,Fevereiro,Amazonas
2018,93,Fevereiro,Amazonas
2019,90,Fevereiro,Amazonas
2020,73,Fevereiro,Amazonas
2021,32,Fevereiro,Amazonas
1998,0,Março,Amazonas
1999,7,Março,Amazonas
2000,69,Março,Amazonas
2001,6,Março,Amazonas
2002,5,Março,Amazonas
2003,94,Março,Amazonas
2004,20,Março,Amazonas
2005,15,Março,Amazonas
2006,30,Março,Amazonas
2007,14,Março,Amazonas
2008,25,Março,Amazonas
2009,19,Março,Amazonas
2010,64,Março,Amazonas
2011,23,Março,Amazonas
2012,5,Março,Amazonas
2013,23,Março,Amazonas
2014,30,Março,Amazonas
2015,25,Março,Amazonas
2016,105,Março,Amazonas
2017,24,Março,Amazonas
